Time,Gaze_Direction.x,Gaze_Direction.y,Gaze_Direction.z,Gaze_Origin.x,Gaze_Origin.y,Gaze_Origin.z,Head_Movement_Direction.x,Head_Movement_Direction.y,Head_Movement_Direction.z,Head_Velocity.x,Head_Velocity.y,Head_Velocity.z,Hit_Normal.x,Hit_Normal.y,Hit_Normal.z,Hit_Position.x,Hit_Position.y,Hit_Position.z,Cursor_Position.x,Cursor_Position.y,Cursor_Position.z
4.44,0.05606078,-0.1587041,0.9857333,-0.006768023,-0.01043587,0.01246199,-0.37919,-0.5557505,0.7380632,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1053535,-0.327844,1.983929
4.46,0.01111227,-0.1324201,0.9911314,-0.003877506,-0.01098968,0.01074273,-0.379749,-0.5595008,0.7351139,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.01834704,-0.27583,1.993006
4.47,0.01121265,-0.1324749,0.9911229,-0.003864029,-0.010998,0.0107471,-0.3668435,-0.5739623,0.7306651,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.01856127,-0.2759479,1.992993
4.49,0.01144467,-0.1324428,0.9911245,-0.003836272,-0.01101752,0.01075501,-0.355012,-0.5868233,0.7264264,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.01905307,-0.2759031,1.993004
4.51,0.01176112,-0.1325252,0.9911098,-0.003807997,-0.01103259,0.01075983,-0.3440771,-0.5983248,0.7224263,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.01971424,-0.276083,1.99298
4.52,0.01213982,-0.1326172,0.991093,-0.003784992,-0.01104203,0.01078205,-0.3339728,-0.6086203,0.7186769,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02049465,-0.2762765,1.992968
4.54,0.01254022,-0.1326843,0.991079,-0.003755625,-0.01105562,0.0108091,-0.3246476,-0.617768,0.7152442,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02132481,-0.2764242,1.992967
4.56,0.01303616,-0.1327766,0.9910603,-0.003736306,-0.01107614,0.01083369,-0.3159908,-0.6259091,0.7121336,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02233602,-0.2766294,1.992954
4.57,0.01357217,-0.1328948,0.9910372,-0.003712547,-0.01107564,0.01086177,-0.3080006,-0.6331772,0.7092913,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.0234318,-0.2768652,1.992936
4.59,0.01414761,-0.1328908,0.9910297,-0.003695828,-0.01106458,0.01090692,-0.3006083,-0.639594,0.7067806,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02459939,-0.2768461,1.992966
4.6,0.01472326,-0.1328335,0.991029,-0.003676543,-0.01105454,0.0109527,-0.2937945,-0.6451584,0.7046571,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02576997,-0.2767216,1.993011
4.62,0.0153184,-0.1327287,0.991034,-0.003650381,-0.01104928,0.01099205,-0.2874908,-0.6499714,0.7028967,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02698643,-0.2765068,1.99306
4.64,0.01591531,-0.1325667,0.9910463,-0.003621545,-0.0110244,0.01102978,-0.2816131,-0.6541612,0.7014462,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.02820907,-0.2761578,1.993123
4.66,0.01924599,-0.1319934,0.9910637,-0.0033626,-0.01098183,0.0110094,-0.2761267,-0.6577374,0.7003351,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.03512938,-0.2749687,1.993137
4.67,0.0224685,-0.1313608,0.99108,-0.003113938,-0.01092479,0.01098705,-0.2697121,-0.6611498,0.6996688,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.04182307,-0.2736464,1.993147
4.69,0.02591646,-0.1306334,0.9910919,-0.003049258,-0.01083284,0.01100858,-0.2625144,-0.6643494,0.6994185,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.04878367,-0.2720996,1.993192
4.71,0.02928336,-0.1296089,0.9911327,-0.002978323,-0.01068233,0.01102346,-0.2556904,-0.6668858,0.6995711,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.0555884,-0.2699001,1.993289
4.72,0.03261635,-0.1281352,0.9912203,-0.00290766,-0.01048638,0.01103232,-0.2492175,-0.6686515,0.700256,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.06232504,-0.2667569,1.993473
4.74,0.03611046,-0.1261487,0.9913539,-0.002761652,-0.01024598,0.01101574,-0.2431015,-0.6695778,0.7015508,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.06945927,-0.2625434,1.993724
4.76,0.03973092,-0.1238023,0.9915112,-0.002631417,-0.009962972,0.01097496,-0.23689,-0.6697352,0.7035505,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.07683042,-0.2575676,1.993997
4.77,0.04315916,-0.1209203,0.9917235,-0.002523667,-0.009639559,0.01092742,-0.2307255,-0.6690788,0.7062436,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.08379464,-0.2514802,1.994375
4.79,0.04651928,-0.117936,0.991931,-0.002440588,-0.009307735,0.01087509,-0.2247657,-0.6675027,0.7096713,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.09059797,-0.2451797,1.994737
4.81,0.04951623,-0.1146553,0.9921705,-0.002381293,-0.008980841,0.01079155,-0.2191473,-0.6650131,0.7137741,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.09665116,-0.2382915,1.995133
4.82,0.05235728,-0.1117196,0.9923595,-0.002394445,-0.008639419,0.01069451,-0.214008,-0.66175,0.7183697,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.1023201,-0.2320787,1.995414
4.84,0.05473415,-0.1085717,0.9925807,-0.002432331,-0.008255458,0.01058072,-0.2098188,-0.6576563,0.7233635,0,0,0,-0.01883592,0.9992816,0.03288417,-0.01295736,-0.02263479,0.03496347,0.107036,-0.2253989,1.995742
